"","X.2","UniqueID","Experiment","Year","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","RFTM_score.x","peacrabs","Species2.x","Bucket","Color.Number","Old.New","Length_pre","Width_pre","Height_pre","Weight","Length_post","Width_post","Height_post","Weight_post","live_barnacles","dead_barnacles","polydora_scars","RFTM_score.y","Species2.y","Bucket2","Bucket_colnum","Height_diff","Width_diff","Length_diff","Weight_diff","Weight_delta","Height_delta","Width_delta","Length_delta","Volume_pre","Volume_post","Volume_delta","Volume_scale"
"44","2018_HIGH_POLY_HP5Y38_IR","2018_HIGH_POLY_HP5Y38_IR","Lab18",2018,"HIGH","POLY","HP5","Y38",0,NA,"IR","HP5","Y38",NA,30.07,19.32,11.2,3.09,31.4,18.45,11.44,4.3,0,0,0,0,"IR","HIGH_POLY","HP5Y38",0.24,-0.870000000000001,1.33,1.21,0.391585760517799,0.0214285714285714,-0.0450310559006212,0.0442301296973727,6506.66688,6627.5352,0.01857607316144,-0.645113973781249
"45","2018_HIGH_POLY_HP5Y44_IR","2018_HIGH_POLY_HP5Y44_IR","Lab18",2018,"HIGH","POLY","HP5","Y44",0,NA,"IR","HP5","Y44",NA,34.66,21.51,14.27,4.94,34.36,19.85,14.88,5.75,0,0,0,0,"IR","HIGH_POLY","HP5Y44",0.610000000000001,-1.66,-0.299999999999997,0.81,0.163967611336032,0.0427470217238964,-0.0771734077173408,-0.00865551067512975,10638.807282,10148.84448,-0.046054298100594,-0.729796736411916
"46","2018_LOW_MONO_LM1O13_CV","2018_LOW_MONO_LM1O13_CV","Lab18",2018,"LOW","MONO","LM1","O13",0,NA,"CV","LM1","O13","NEW",26.06,20.38,9.81,2.08,NA,NA,NA,NA,NA,NA,NA,0,"CV","LOW_MONO","LM1O13",NA,NA,NA,NA,NA,NA,NA,NA,5210.118468,NA,NA,NA
"47","2018_LOW_MONO_LM1O33_CV","2018_LOW_MONO_LM1O33_CV","Lab18",2018,"LOW","MONO","LM1","O33",0,NA,"CV","LM1","O33","NEW",35.38,24.67,11.5,3.22,57.85,36,11.85,16.17,0,1,0,0,"CV","LOW_MONO","LM1O33",0.35,11.33,22.47,12.95,4.02173913043478,0.0304347826086956,0.459262261856506,0.635104578858112,10037.4829,24678.81,1.45866520978083,1.24178105934351
"48","2018_LOW_MONO_LM1O51_CV","2018_LOW_MONO_LM1O51_CV","Lab18",2018,"LOW","MONO","LM1","O51",0,NA,"CV","LM1","O51","NEW",46.92,30.49,14.71,8.81,46.07,33.07,12.91,16.26,1,0,0,0,"CV","LOW_MONO","LM1O51",-1.8,2.58,-0.850000000000001,7.45,0.845629965947787,-0.122365737593474,0.0846179075106593,-0.0181159420289855,21043.990668,19668.835559,-0.065346688786129,-0.755074835687835
"49","2018_LOW_MONO_LM1Y12_CV","2018_LOW_MONO_LM1Y12_CV","Lab18",2018,"LOW","MONO","LM1","Y12",0,NA,"CV","LM1","Y12","NEW",25.23,18.35,10.7,2.02,41.33,27.38,10.61,8.48,0,0,0,0,"CV","LOW_MONO","LM1Y12",-0.0899999999999999,9.03,16.1,6.46,3.1980198019802,-0.00841121495327102,0.492098092643052,0.638129211256441,4953.78435,12006.439394,1.4236903639134,1.19595482451302
"50","2018_LOW_MONO_LM1Y14_CV","2018_LOW_MONO_LM1Y14_CV","Lab18",2018,"LOW","MONO","LM1","Y14",0,NA,"CV","LM1","Y14","NEW",28.86,22.01,12.85,2.83,38.93,29.53,10.47,9.884,0,0,0,0,"CV","LOW_MONO","LM1Y14",-2.38,7.52,10.07,7.054,2.49257950530035,-0.185214007782101,0.34166288050886,0.348925848925849,8162.43051,12036.342363,0.474602736066662,-0.0475992621375763
"51","2018_LOW_MONO_LM2O28_CV","2018_LOW_MONO_LM2O28_CV","Lab18",2018,"LOW","MONO","LM2","O28",0,NA,"CV","LM2","O28","NEW",34.63,23.62,11.15,3.64,39.72,27.85,12.6,11.05,0,0,0,0,"CV","LOW_MONO","LM2O28",1.45,4.23,5.09,7.41,2.03571428571429,0.130044843049327,0.179085520745131,0.146982385215131,9120.26069,13938.1452,0.528261710247232,0.0227080884904334
"52","2018_LOW_MONO_LM2O48_CV","2018_LOW_MONO_LM2O48_CV","Lab18",2018,"LOW","MONO","LM2","O48",0,NA,"CV","LM2","O48","NEW",33.84,30.46,30.37,5.88,40.98,33.7,13.08,12.14,0,0,0,0,"CV","LOW_MONO","LM2O48",-17.29,3.24,7.13999999999999,6.26,1.06462585034014,-0.569311820875864,0.106369008535785,0.210992907801418,31304.375568,18063.82008,-0.42296181437124,-1.22364458396111
"53","2018_LOW_MONO_LM2O7_CV","2018_LOW_MONO_LM2O7_CV","Lab18",2018,"LOW","MONO","LM2","O7",0,NA,"CV","LM2","O7","NEW",28.71,19.92,7.18,2.52,37.15,24.61,9.22,7.91,0,0,1,0,"CV","LOW_MONO","LM2O7",2.04,4.69,8.44,5.39,2.13888888888889,0.284122562674095,0.235441767068273,0.293974225008708,4106.264976,8429.49103,1.05283659950541,0.710038982025831
"54","2018_LOW_MONO_LM2O79_CV","2018_LOW_MONO_LM2O79_CV","Lab18",2018,"LOW","MONO","LM2","O79",0,NA,"CV","LM2","O79","NEW",44.47,26.62,13.62,6.39,41.25,28.99,11.6,10.68,0,0,1,0,"CV","LOW_MONO","LM2O79",-2.02,2.37,-3.22,4.29,0.671361502347418,-0.148311306901615,0.0890308039068369,-0.0724083651900157,16123.238868,13871.715,-0.139644638799505,-0.852424665838414
"55","2018_LOW_MONO_LM2O89_CV","2018_LOW_MONO_LM2O89_CV","Lab18",2018,"LOW","MONO","LM2","O89",0,NA,"CV","LM2","O89","NEW",28.61,22.91,9.24,2.8,40.66,30.55,10.9,9.9,0,1,0,0,"CV","LOW_MONO","LM2O89",1.66,7.64,12.05,7.1,2.53571428571429,0.17965367965368,0.333478830205151,0.421181405103111,6056.405124,13539.5767,1.23557975775862,0.949480519967692
"56","2018_LOW_MONO_LM430G_CV","2018_LOW_MONO_LM430G_CV","Lab18",2018,"LOW","MONO","LM4","30G",0,NA,"CV","LM4","30G",NA,NA,NA,NA,NA,39.71,27.96,10.61,9.29,0,0,1,0,"CV","LOW_MONO","LM430G",NA,NA,NA,NA,NA,NA,NA,NA,NA,11780.193876,NA,NA
