"","UniqueID","Experiment","Year","Site.x","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number.x","Species.x","RFTM_score.x","peacrabs.x","Date_pre","Site.y","Treatment","Color","Number.y","Species.y","Length_pre","Width_pre","Height_pre","Weight_pre","Length_post","Width_post","Height_post","Weight_post","RFTM_date","RFTM_score.y","peacrabs.y","LiveMM","Treatment2","Colornumber"
"59","2017_OY_LOW_MONO_B11_CV","Field17",2017,"OY","LOW","MONO","B",11,"CV",0,0,"5/30/2017","OY","LL","B","11","CV","20","17.2","6.1","0.89","53.19",39.6,"14.71",18.93,"9/20-9/27","0",NA,0,"LOW_MONO","B11"
"60","2017_OY_LOW_MONO_B16_CV","Field17",2017,"OY","LOW","MONO","B",16,"CV",3,0,"5/30/2017","OY","LL","B","16","CV","17.4","16.85","6","0.89","48.29",34.26,"16.89",19.23,"9/20-9/27","3",NA,0,"LOW_MONO","B16"
"61","2017_OY_LOW_MONO_P9_CV","Field17",2017,"OY","LOW","MONO","P",9,"CV",1,0,"5/30/2017","OY","LL","P","9","CV","21.65","14.5","6.45","1.05","40.31",43.14,"13.37",12.22,"9/20-9/29","1",NA,0,"LOW_MONO","P9"
"62","2017_OY_LOW_MONO_R10_CV","Field17",2017,"OY","LOW","MONO","R",10,"CV",1,0,"5/30/2017","OY","LL","R","10","CV","23.2","17.7","7.5","1.18","59.19",42.83,"20.04",27.02,"9/20-9/27","1",NA,0,"LOW_MONO","R10"
"63","2017_OY_LOW_MONO_R12_CV","Field17",2017,"OY","LOW","MONO","R",12,"CV",0,0,"5/30/2017","OY","LL","R","12","CV","18.6","14","5.5","0.7","54.56",38.68,"16.33",15.52,"9/20-9/27","0",NA,0,"LOW_MONO","R12"
"64","2017_OY_LOW_MONO_R18_CV","Field17",2017,"OY","LOW","MONO","R",18,"CV",3,0,"5/30/2017","OY","LL","R","18","CV","23","17.7","6.2","1.02","60.19",37.3,"21.32",28.46,"9/20-9/27","3",NA,0,"LOW_MONO","R18"
"65","2017_OY_LOW_MONO_R4_CV","Field17",2017,"OY","LOW","MONO","R",4,"CV",0,0,"5/30/2017","OY","LL","R","4","CV","22.3","17","7.2","1.2","49.66",47.33,"14.06",21.95,"9/20-9/27","0",NA,0,"LOW_MONO","R4"
"66","2017_OY_LOW_MONO_Y6_CV","Field17",2017,"OY","LOW","MONO","Y",6,"CV",2,0,"5/30/2017","OY","LL","Y","6","CV","19.5","17.45","5.9","0.85","55.83",47.69,"21.07",27.05,"9/20-9/29","2",NA,0,"LOW_MONO","Y6"
"67","2017_OY_LOW_POLY_B15_CV","Field17",2017,"OY","LOW","POLY","B",15,"CV",0,0,"5/30/2017","OY","LH","B","15","CV","19.3","17","4.9","0.77","57.98",38.57,"20.59",24.22,"9/20-9/27","0",NA,0,"LOW_POLY","B15"
"68","2017_OY_LOW_POLY_B2_CV","Field17",2017,"OY","LOW","POLY","B",2,"CV",0,0,"5/30/2017","OY","LH","B","2","CV","21.5","19.85","6.2","1.25","58.75",43.86,"22.6",31.19,"","0",NA,0,"LOW_POLY","B2"
"69","2017_OY_LOW_POLY_P3_CV","Field17",2017,"OY","LOW","POLY","P",3,"CV",0,0,"6/1/2017","OY","LH","P","3","CV","21.3","21.3","5.6","0.9","53.78",36.41,"17.16",16.42,"9/20-9/29","0",NA,2,"LOW_POLY","P3"
"70","2017_OY_LOW_POLY_Y17_CV","Field17",2017,"OY","LOW","POLY","Y",17,"CV",1,0,"5/30/2017","OY","LH","Y","17","CV","20.4","19","5.4","1.12","50.69",38.86,"16.88",18.37,"9/20-9/27","1",NA,0,"LOW_POLY","Y17"
"71","2017_OY_LOW_POLY_Y4_CV","Field17",2017,"OY","LOW","POLY","Y",4,"CV",0,1,"5/30/2017","OY","LH","Y","4","CV","21.1","14.4","5.5","0.89","49.26",43.03,"18.32",20.74,"9/20-9/27","0",1,0,"LOW_POLY","Y4"
